word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
Recipe,0,108,135,69,24,0.05625,0.125,0.0359375,0.0222222222222222
searchRecipe,0,184,135,134,24,0.0958333333333333,0.125,0.0697916666666666,0.0222222222222222
Recipe,1,345,135,70,24,0.1796875,0.125,0.0364583333333333,0.0222222222222222
re,0,422,135,25,17,0.2197916666666666,0.125,0.0130208333333333,0.0157407407407407
Recipe,2,65,162,69,24,0.0338541666666666,0.15,0.0359375,0.0222222222222222
recipe,0,141,162,77,24,0.0734375,0.15,0.0401041666666666,0.0222222222222222
for,0,64,216,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
IngredientAmount,0,130,216,176,24,0.0677083333333333,0.2,0.0916666666666666,0.0222222222222222
iam,0,313,216,37,20,0.1630208333333333,0.2,0.0192708333333333,0.0185185185185185
:,0,359,216,9,17,0.1869791666666666,0.2,0.0046875,0.0157407407407407
re.getIngredients,0,379,216,207,24,0.1973958333333333,0.2,0.1078125,0.0222222222222222
if,0,108,243,26,20,0.05625,0.225,0.0135416666666666,0.0185185185185185
iam.getFood,0,162,243,143,24,0.084375,0.225,0.0744791666666666,0.0222222222222222
instanceof,0,313,243,113,20,0.1630208333333333,0.225,0.0588541666666666,0.0185185185185185
Recipe,3,432,243,69,24,0.225,0.225,0.0359375,0.0222222222222222
if,1,151,270,26,20,0.0786458333333333,0.25,0.0135416666666666,0.0185185185185185
Recipe,4,216,270,69,24,0.1125,0.25,0.0359375,0.0222222222222222
)iam.getFood,0,293,270,152,24,0.1526041666666666,0.25,0.0791666666666666,0.0222222222222222
==,0,453,270,27,13,0.2359375,0.25,0.0140625,0.012037037037037
m_ActiveRecipe,0,485,270,157,24,0.2526041666666667,0.25,0.0817708333333333,0.0222222222222222
return,0,195,298,68,19,0.1015625,0.2759259259259259,0.0354166666666666,0.0175925925925925
re,1,271,298,33,20,0.1411458333333333,0.2759259259259259,0.0171875,0.0185185185185185
else,0,172,324,49,20,0.0895833333333333,0.3,0.0255208333333333,0.0185185185185185
recipe,1,195,351,69,24,0.1015625,0.325,0.0359375,0.0222222222222222
=,0,269,351,16,13,0.1401041666666666,0.325,0.0083333333333333,0.012037037037037
searchRecipe,1,292,351,134,24,0.1520833333333333,0.325,0.0697916666666666,0.0222222222222222
Recipe,5,464,351,70,24,0.2416666666666666,0.325,0.0364583333333333,0.0222222222222222
iam.getFood,1,561,351,164,24,0.2921875,0.325,0.0854166666666666,0.0222222222222222
if,2,194,405,27,20,0.1010416666666666,0.375,0.0140625,0.0185185185185185
recipe,2,249,405,69,24,0.1296875,0.375,0.0359375,0.0222222222222222
=,1,327,405,23,19,0.1703125,0.375,0.0119791666666666,0.0175925925925925
null,0,356,405,48,20,0.1854166666666666,0.375,0.025,0.0185185185185185
return,1,238,432,68,19,0.1239583333333333,0.4,0.0354166666666666,0.0175925925925925
recipe,3,314,432,76,24,0.1635416666666666,0.4,0.0395833333333333,0.0222222222222222
return,2,65,567,69,19,0.0338541666666666,0.525,0.0359375,0.0175925925925925
null,1,140,567,56,23,0.0729166666666666,0.525,0.0291666666666666,0.0212962962962962
