,word,x,y,width,height
0,public,12,35,69,24
1,List,88,35,46,20
2,getAZL(,141,35,78,24
3,Object,227,35,69,24
4,key,304,35,36,24
5,unknown_0,348,35,12,24
6,{,368,35,15,24
7,Object,54,62,69,24
8,value,129,62,60,20
12,=,195,62,16,13
9,mMap.get,216,62,100,24
10,key,325,62,37,24
11,);,370,62,21,24
13,if,54,116,27,20
14,unknown_1,88,116,12,24
15,value,108,116,59,20
16,instanceof,173,116,113,20
17,List,293,116,46,20
18,unknown_2,348,116,12,24
19,{,368,116,15,24
24,return,99,143,68,19
20,unknown_3,175,143,22,24
21,List,207,143,46,20
22,)value,262,143,67,24
23,);,337,143,22,24
25,unknown_4,55,170,14,24
26,else,54,197,48,20
27,unknown_5,109,197,15,24
28,List,99,224,46,20
29,list,153,224,46,20
32,=,205,224,16,13
31,new,228,224,37,17
30,ArrayList();,269,224,133,24
33,if,98,278,26,20
34,unknown_6,132,278,11,24
35,value,151,278,60,20
43,=,220,278,23,19
36,null,249,278,48,20
37,unknown_7,306,278,9,24
38,unknown_8,317,278,9,24
39,mMap.containsKey(,335,278,187,24
40,key,531,278,36,24
41,)),575,278,22,24
42,{,606,278,15,24
44,list.add(,142,305,99,24
45,value,248,305,60,20
46,);,316,305,21,24
47,unknown_9,98,332,14,24
48,MMap.put,97,359,100,24
49,key,207,359,43,24
50,list,261,359,46,20
51,);,316,359,21,24
53,return,99,386,68,19
52,list;,174,386,55,23
54,unknown_10,55,413,14,24
55,unknown_11,11,440,15,24
