,word,x,y,width,height
0,public,12,35,69,24
1,string,86,35,70,24
2,tostring(),163,35,110,24
3,{,282,35,15,24
4,stringBuffer,54,62,134,24
5,Sb,196,62,25,20
8,=,227,62,16,13
7,new,249,62,38,17
6,stringBuffer();,292,62,164,24
9,sb.append(,55,116,110,24
10,java.utilregex,174,116,273,24
11,"Matcher""",174,116,273,24
12,);,456,116,22,24
13,sb.append(,55,143,110,24
14,"[pattern=""",174,143,121,24
17,unknown_0,303,143,16,16
15,pattern(),325,143,100,24
16,);,435,143,21,24
18,sb.append(,55,170,110,24
19,unknown_1,174,170,13,13
20,"region=""",196,170,89,24
21,);,294,170,22,24
22,sb.append(,55,197,110,24
23,regionstart(),174,197,143,24
27,unknown_3,324,197,16,16
24,unknown_2,347,197,35,23
28,unknown_4,389,197,16,16
25,regionEnd(),412,197,121,24
26,);,543,197,21,24
29,sb.append(,55,224,110,24
30,unknown_5,174,224,13,13
31,"lastmatch=""",196,224,121,20
32,);,327,224,21,24
33,if,54,278,27,20
34,unknown_6,88,278,23,24
35,first,119,278,58,20
45,2=,184,278,27,16
42,unknown_9,216,278,16,19
36,unknown_7,240,278,12,24
43,&&,259,278,28,19
37,unknown_8,294,278,11,24
38,group(),314,278,78,24
44,!=,403,278,24,19
39,null,433,278,48,20
40,)),489,278,22,24
41,{,520,278,14,24
46,sb.append(,98,305,110,24
47,group(),216,305,79,24
48,);,305,305,21,24
49,unknown_10,55,332,14,24
50,sb.append(,55,359,110,24
51,"""]""",174,359,35,24
52,);,219,359,21,24
54,return,55,386,69,19
53,sb.tostring();,131,386,152,24
55,unknown_11,11,413,15,24
