,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,gensql(),141,35,89,24
3,throws,238,35,69,20
4,PositionedError,314,35,166,20
5,unknown_0,487,35,15,24
7,try,55,62,37,23
6,{,98,62,15,24
8,SqlcPrettyPrinter,97,89,189,24
9,spp;,293,89,44,21
14,spp,98,116,37,21
16,=,141,116,16,13
15,new,163,116,37,17
10,SqlcPrettyPrinter,205,116,198,24
11,ref,412,116,142,24
12,getFile(),412,116,142,24
13,);,564,116,22,24
17,spp.printcUnit,98,143,164,24
18,elems,270,143,59,20
19,);,337,143,22,24
20,spp.close();,98,170,131,24
21,unknown_1,55,197,14,24
22,catch,76,197,58,20
23,unknown_2,143,197,11,24
24,IOException,163,197,123,24
25,ioe,292,197,37,20
26,unknown_3,337,197,12,24
27,{,358,197,14,24
28,ioe,98,224,239,24
29,printstackTrace();,98,224,239,24
30,System.err,97,251,208,24
31,println(,97,251,208,24
32,"""cannot",315,251,78,20
33,write:,399,251,68,20
34,unknown_4,477,251,13,13
38,unknown_5,497,251,16,16
35,ref,520,251,142,24
36,getFile(),520,251,142,24
37,);,672,251,22,24
39,unknown_6,55,278,14,24
40,unknown_7,11,305,15,24
