word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
double,0,97,135,69,20,0.0505208333333333,0.125,0.0359375,0.0185185185185185
fScore,0,172,135,79,24,0.0895833333333333,0.125,0.0411458333333333,0.0222222222222222
ONDEXConcept,0,259,135,133,23,0.1348958333333333,0.125,0.0692708333333333,0.0212962962962962
x,0,399,135,23,20,0.2078125,0.125,0.0119791666666666,0.0185185185185185
ONDEXConcept,1,431,135,134,23,0.2244791666666666,0.125,0.0697916666666666,0.0212962962962962
y,0,572,135,16,21,0.2979166666666666,0.125,0.0083333333333333,0.0194444444444444
double,1,64,162,70,20,0.0333333333333333,0.15,0.0364583333333333,0.0185185185185185
recall,0,141,162,69,20,0.0734375,0.15,0.0359375,0.0185185185185185
=,0,215,162,16,13,0.1119791666666666,0.15,0.0083333333333333,0.012037037037037
recall,1,238,162,77,24,0.1239583333333333,0.15,0.0401041666666666,0.0222222222222222
x,1,324,162,22,20,0.16875,0.15,0.0114583333333333,0.0185185185185185
y,1,355,162,17,21,0.1848958333333333,0.15,0.0088541666666666,0.0194444444444444
double,2,64,189,70,20,0.0333333333333333,0.175,0.0364583333333333,0.0185185185185185
precision,0,140,189,102,24,0.0729166666666666,0.175,0.053125,0.0222222222222222
=,1,248,189,16,13,0.1291666666666666,0.175,0.0083333333333333,0.012037037037037
precision,1,270,189,110,24,0.140625,0.175,0.0572916666666666,0.0222222222222222
x,2,388,189,23,20,0.2020833333333333,0.175,0.0119791666666666,0.0185185185185185
y,2,420,189,17,21,0.21875,0.175,0.0088541666666666,0.0194444444444444
double,3,64,216,70,20,0.0333333333333333,0.2,0.0364583333333333,0.0185185185185185
score,0,141,216,58,17,0.0734375,0.2,0.0302083333333333,0.0157407407407407
=,2,205,216,16,13,0.1067708333333333,0.2,0.0083333333333333,0.012037037037037
0,0,226,216,24,22,0.1177083333333333,0.2,0.0125,0.0203703703703703
if,0,64,243,27,20,0.0333333333333333,0.225,0.0140625,0.0185185185185185
recall,2,119,243,69,20,0.0619791666666666,0.225,0.0359375,0.0185185185185185
+,0,194,243,16,16,0.1010416666666666,0.225,0.0083333333333333,0.0148148148148148
precision,2,216,243,101,24,0.1125,0.225,0.0526041666666666,0.0222222222222222
!=,0,327,243,23,19,0.1703125,0.225,0.0119791666666666,0.0175925925925925
0,1,356,243,16,19,0.1854166666666666,0.225,0.0083333333333333,0.0175925925925925
score,1,108,270,59,17,0.05625,0.25,0.0307291666666666,0.0157407407407407
=,3,172,270,16,13,0.0895833333333333,0.25,0.0083333333333333,0.012037037037037
2d,0,216,270,26,20,0.1125,0.25,0.0135416666666666,0.0185185185185185
*,0,249,270,13,13,0.1296875,0.25,0.0067708333333333,0.012037037037037
recall,3,271,270,68,20,0.1411458333333333,0.25,0.0354166666666666,0.0185185185185185
*,1,346,270,14,13,0.1802083333333333,0.25,0.0072916666666666,0.012037037037037
precision,3,367,270,101,24,0.1911458333333333,0.25,0.0526041666666666,0.0222222222222222
/,0,496,270,16,20,0.2583333333333333,0.25,0.0083333333333333,0.0185185185185185
recall,4,541,270,68,20,0.2817708333333333,0.25,0.0354166666666666,0.0185185185185185
+,1,615,270,16,16,0.3203125,0.25,0.0083333333333333,0.0148148148148148
precision,4,637,270,101,24,0.3317708333333333,0.25,0.0526041666666666,0.0222222222222222
return,0,65,325,69,19,0.0338541666666666,0.3009259259259259,0.0359375,0.0175925925925925
score,2,141,325,66,20,0.0734375,0.3009259259259259,0.034375,0.0185185185185185
