word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,"['function', 'type', 'name']",96,135,48,20,0.05,0.125,0.025,0.018518519
addDbArgs,0,,"['function', 'name']",151,135,110,24,0.078645833,0.125,0.057291667,0.022222222
List,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'name']",271,135,133,24,0.141145833,0.125,0.069270833,0.022222222
args,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",410,135,48,21,0.213541667,0.125,0.025,0.019444444
args,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,162,50,24,0.033333333,0.15,0.026041667,0.022222222
add,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",114,162,38,24,0.059375,0.15,0.019791667,0.022222222
currentConnection,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",172,162,186,20,0.089583333,0.15,0.096875,0.018518519
driverClass,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",358,162,121,20,0.186458333,0.15,0.063020833,0.018518519
args,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,189,50,24,0.033333333,0.175,0.026041667,0.022222222
add,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",114,189,38,24,0.059375,0.175,0.019791667,0.022222222
currentConnection,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",172,189,188,20,0.089583333,0.175,0.097916667,0.018518519
url,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",360,189,33,20,0.1875,0.175,0.0171875,0.018518519
args,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,216,50,24,0.033333333,0.2,0.026041667,0.022222222
add,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",114,216,38,24,0.059375,0.2,0.019791667,0.022222222
currentConnection,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",172,216,187,20,0.089583333,0.2,0.097395833,0.018518519
user,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",359,216,44,20,0.186979167,0.2,0.022916667,0.018518519
args,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,243,50,24,0.033333333,0.225,0.026041667,0.022222222
add,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",114,243,38,24,0.059375,0.225,0.019791667,0.022222222
currentConnection,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",172,243,187,24,0.089583333,0.225,0.097395833,0.022222222
password,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",359,243,88,24,0.186979167,0.225,0.045833333,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,297,27,20,0.033333333,0.275,0.0140625,0.018518519
currentConnection,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",118,297,205,24,0.061458333,0.275,0.106770833,0.022222222
jar1,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",323,297,48,24,0.168229167,0.275,0.025,0.022222222
trim,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",371,297,48,24,0.193229167,0.275,0.025,0.022222222
length,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name']",444,297,88,24,0.23125,0.275,0.045833333,0.022222222
>,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",540,297,15,16,0.28125,0.275,0.0078125,0.014814815
0,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",561,297,16,19,0.2921875,0.275,0.008333333,0.017592593
args,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,324,50,24,0.05625,0.3,0.026041667,0.022222222
add,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",158,324,37,24,0.082291667,0.3,0.019270833,0.022222222
"""-jdbcjar""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",217,324,110,24,0.113020833,0.3,0.057291667,0.022222222
args,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,351,50,24,0.05625,0.325,0.026041667,0.022222222
add,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",158,351,37,24,0.082291667,0.325,0.019270833,0.022222222
currentConnection,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",216,351,199,24,0.1125,0.325,0.103645833,0.022222222
jar1,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",415,351,47,24,0.216145833,0.325,0.024479167,0.022222222
trim,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",462,351,47,24,0.240625,0.325,0.024479167,0.022222222
if,1,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,405,27,20,0.033333333,0.375,0.0140625,0.018518519
currentConnection,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",118,405,205,24,0.061458333,0.375,0.106770833,0.022222222
jar2,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",323,405,48,24,0.168229167,0.375,0.025,0.022222222
trim,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",371,405,48,24,0.193229167,0.375,0.025,0.022222222
length,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name']",444,405,88,24,0.23125,0.375,0.045833333,0.022222222
>,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",540,405,15,16,0.28125,0.375,0.0078125,0.014814815
0,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",561,405,16,19,0.2921875,0.375,0.008333333,0.017592593
args,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,432,50,24,0.05625,0.4,0.026041667,0.022222222
add,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",158,432,37,24,0.082291667,0.4,0.019270833,0.022222222
"""-jdbcjar2""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",217,432,121,24,0.113020833,0.4,0.063020833,0.022222222
args,8,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,459,50,24,0.05625,0.425,0.026041667,0.022222222
add,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",158,459,37,24,0.082291667,0.425,0.019270833,0.022222222
currentConnection,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",216,459,199,24,0.1125,0.425,0.103645833,0.022222222
jar2,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",415,459,47,24,0.216145833,0.425,0.024479167,0.022222222
trim,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",462,459,47,24,0.240625,0.425,0.024479167,0.022222222
