word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,"['function', 'type', 'name']",96,135,48,20,0.05,0.125,0.025,0.018518519
draw,0,,"['function', 'name']",151,135,68,24,0.078645833,0.125,0.035416667,0.022222222
p4vj,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,162,45,24,0.033854167,0.15,0.0234375,0.022222222
cSketch,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,162,86,24,0.0578125,0.15,0.044791667,0.022222222
stroke,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",197,162,74,24,0.102604167,0.15,0.038541667,0.022222222
0,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",291,162,16,19,0.1515625,0.15,0.008333333,0.017592593
p4vj,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,189,45,24,0.033854167,0.175,0.0234375,0.022222222
cSketch,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,189,88,24,0.0578125,0.175,0.045833333,0.022222222
fill,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",199,189,50,24,0.103645833,0.175,0.026041667,0.022222222
128,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",270,189,37,19,0.140625,0.175,0.019270833,0.017592593
p4vj,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,216,45,24,0.033854167,0.2,0.0234375,0.022222222
cSketch,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,216,88,24,0.0578125,0.2,0.045833333,0.022222222
rect,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",199,216,50,24,0.103645833,0.2,0.026041667,0.022222222
xPos,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",270,216,55,22,0.140625,0.2,0.028645833,0.02037037
yPos,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",334,216,56,23,0.173958333,0.2,0.029166667,0.021296296
xSize,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",399,216,66,23,0.2078125,0.2,0.034375,0.021296296
ySize,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",474,216,60,24,0.246875,0.2,0.03125,0.022222222
drawFPS,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']",64,243,110,24,0.033333333,0.225,0.057291667,0.022222222
p4vj,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,270,45,24,0.033854167,0.25,0.0234375,0.022222222
cSketch,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,270,88,24,0.0578125,0.25,0.045833333,0.022222222
fill,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",199,270,50,24,0.103645833,0.25,0.026041667,0.022222222
255,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",270,270,37,19,0.140625,0.25,0.019270833,0.017592593
p4vj,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,297,45,24,0.033854167,0.275,0.0234375,0.022222222
cSketch,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,297,84,24,0.0578125,0.275,0.04375,0.022222222
textAlign,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",195,297,108,24,0.1015625,0.275,0.05625,0.022222222
p,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",324,297,13,23,0.16875,0.275,0.006770833,0.021296296
LEFT,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",337,297,51,23,0.175520833,0.275,0.0265625,0.021296296
p,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",411,297,11,23,0.2140625,0.275,0.005729167,0.021296296
BASELINE,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",422,297,90,23,0.219791667,0.275,0.046875,0.021296296
p4vj,5,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,324,45,24,0.033854167,0.3,0.0234375,0.022222222
cSketch,5,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,324,85,24,0.0578125,0.3,0.044270833,0.022222222
textFont,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",196,324,97,24,0.102083333,0.3,0.050520833,0.022222222
p4vj,6,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",313,324,47,24,0.163020833,0.3,0.024479167,0.022222222
fontSS14,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",360,324,94,24,0.1875,0.3,0.048958333,0.022222222
14,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",475,324,27,19,0.247395833,0.3,0.0140625,0.017592593
p4vj,7,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,351,45,24,0.033854167,0.325,0.0234375,0.022222222
cSketch,6,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",111,351,88,24,0.0578125,0.325,0.045833333,0.022222222
text,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",199,351,50,24,0.103645833,0.325,0.026041667,0.022222222
""" :: Control FPS""",100,"""","['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",271,351,13,13,0.141145833,0.325,0.006770833,0.012037037
""" :: Control FPS""",100,::,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",294,351,19,17,0.153125,0.325,0.009895833,0.015740741
""" :: Control FPS""",100,Control,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",323,351,81,20,0.168229167,0.325,0.0421875,0.018518519
""" :: Control FPS""",100,"FPS""","['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",411,351,54,23,0.2140625,0.325,0.028125,0.021296296
xPos,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",475,351,55,22,0.247395833,0.325,0.028645833,0.02037037
yPos,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",539,351,48,23,0.280729167,0.325,0.025,0.021296296
+,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']",593,351,16,16,0.308854167,0.325,0.008333333,0.014814815
ySize,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",615,351,59,24,0.3203125,0.325,0.030729167,0.022222222
-,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']",682,351,12,8,0.355208333,0.325,0.00625,0.007407407
5,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",702,351,15,19,0.365625,0.325,0.0078125,0.017592593
